,JE6 R1,JE6 R2,JE6 R3,JE6 R4,JE6 R5,J.TCPTP- R1,J.TCPTP- R2,J.TCPTP- R3,J.TCPTP- R4,J.PTPN22- R1,J.PTPN22- R2,J.PTPN22- R3,J.PTPN22- R5,J.SHP1- R1,J.SHP1- R2,J.SHP1- R3,J.SHP1- R4,J.SHP1- R5
893,34127000.0,41186000.0,46704000.0,42373000.0,44170000.0,34059000.0,38704000.0,44487000.0,36791000.0,49037000.0,44321000.0,44004000.0,45240000.0,41132000.0,45076000.0,41509000.0,47874000.0,43731000.0
894,14009970.0,14089020.0,14247120.0,13425000.0,14183880.0,14041590.0,14057400.0,14231310.0,14073210.0,14247120.0,14231310.0,14041590.0,14278740.0,14231310.0,15006000.0,14373600.0,14310360.0,14357790.0
895,58158180.0,58228750.0,44754000.0,59409770.0,58512130.0,59192460.0,47057000.0,65971000.0,57746170.0,68192000.0,84505000.0,59867000.0,63633900.0,58022210.0,59130210.0,62369000.0,59255430.0,53786000.0
896,5237272.0,5288344.0,5299288.0,5273752.0,5299288.0,5095000.0,5244568.0,5310232.0,5259160.0,5302936.0,5277400.0,5233624.0,5299288.0,5302936.0,5332120.0,5313880.0,5459800.0,5321176.0
897,71622000.0,79250000.0,104680000.0,74145000.0,89837000.0,75246000.0,90171000.0,99754000.0,82664000.0,91348000.0,84114000.0,72860000.0,84765000.0,84261000.0,88835000.0,86250000.0,93236000.0,92352000.0
898,14102000.0,6618500.0,7391800.0,13830000.0,4048400.0,9034100.0,6034900.0,2366200.0,6035500.0,14759000.0,8129900.0,6901300.0,7151700.0,4820400.0,7537200.0,2270600.0,10215000.0,7689900.0
899,223100000.0,283910000.0,312210000.0,257020000.0,312120000.0,231230000.0,275410000.0,329410000.0,290290000.0,306120000.0,292090000.0,227310000.0,262350000.0,260080000.0,298740000.0,298280000.0,297430000.0,312740000.0
900,47725000.0,17723000.0,19381000.0,31169000.0,20163000.0,24183000.0,20269000.0,27340000.0,27172000.0,30560000.0,24193000.0,17485000.0,21629000.0,28040000.0,22718000.0,22334000.0,40047000.0,25290000.0
901,65002000.0,73526000.0,94464000.0,66962000.0,72900000.0,67136000.0,82342000.0,98851000.0,84633000.0,94542000.0,87986000.0,70630000.0,89829000.0,80924000.0,80266000.0,81536000.0,85435000.0,94725000.0
902,22238000.0,22238000.0,22238000.0,22238000.0,22238000.0,22238000.0,22238000.0,22238000.0,22238000.0,22238000.0,22238000.0,22238000.0,22238000.0,22238000.0,22238000.0,22238000.0,22238000.0,22238000.0
903,67417000.0,80147000.0,96649000.0,75794000.0,87667000.0,58635000.0,68956000.0,84874000.0,68928000.0,77195000.0,81010000.0,66644000.0,77247000.0,64282000.0,79368000.0,75966000.0,75815000.0,84412000.0
904,68215000.0,90282000.0,105560000.0,77158000.0,89588000.0,51953000.0,63272000.0,79873000.0,62397000.0,100450000.0,102680000.0,87926000.0,102600000.0,66218000.0,84818000.0,70725000.0,73014000.0,82782000.0
905,53409000.0,56000000.0,80953000.0,62146000.0,64100000.0,67226000.0,64638000.0,78361000.0,68255000.0,75853000.0,60211000.0,54756000.0,52867000.0,78723000.0,80672000.0,81233000.0,137040000.0,85862000.0
906,39944000.0,47914000.0,54573000.0,49008000.0,50358000.0,40388000.0,45619000.0,54216000.0,55158000.0,53375000.0,40976000.0,40146000.0,47916000.0,46671000.0,56348000.0,50842000.0,55252000.0,49858000.0
907,41480000.0,50849000.0,47839000.0,39995000.0,43711000.0,39463000.0,45733000.0,50587000.0,40873000.0,47833000.0,42169000.0,40366000.0,40747000.0,40892000.0,50281000.0,43751000.0,44298000.0,49668000.0
908,50231000.0,55007000.0,58614000.0,44404000.0,53077000.0,38543000.0,43136000.0,65170000.0,42257000.0,58397000.0,54045000.0,44156000.0,56269000.0,43176000.0,55958000.0,52472000.0,61502000.0,58143000.0
909,57217000.0,65441000.0,65467000.0,56517000.0,60064000.0,43969000.0,57960000.0,69182000.0,49086000.0,61776000.0,73077000.0,61493000.0,67897000.0,46759000.0,54055000.0,48523000.0,43421000.0,51342000.0
910,31601000.0,39953000.0,53871000.0,39557000.0,42272000.0,32569000.0,40021000.0,47882000.0,39193000.0,48048000.0,45000000.0,38107000.0,48222000.0,37767000.0,45623000.0,42518000.0,40605000.0,42030000.0
911,53965000.0,54444000.0,63718000.0,58437000.0,57651000.0,47036000.0,39737000.0,59554000.0,49859000.0,35471000.0,37350000.0,27429000.0,16327000.0,55486000.0,49889000.0,44979000.0,52575000.0,45937000.0
912,16436000.0,6159600.0,2810800.0,7206351.0,4376800.0,9324931.0,4294000.0,4920375.0,6650984.0,5000568.0,5526526.0,4418900.0,4917100.0,7246298.0,5324318.0,5716549.0,6029846.0,5476068.0
913,105410000.0,139610000.0,147270000.0,115890000.0,130610000.0,98164000.0,120440000.0,148770000.0,117430000.0,130420000.0,122140000.0,111270000.0,125420000.0,123810000.0,145610000.0,154460000.0,169200000.0,135670000.0
